id,area,priority,requirement,acceptance_criteria,required_evidence,status,baseline_status,gate_result,owner_role,dependencies,spec_refs,increment,critical_path,test_ids,artifact_paths,commit,last_verified_at,notes
PC-077,Workspace,P0,Watchlist چندگانه کامل باشد,create/rename/reorder/import/export/columns/filter پاس شود,E2E,IN_PROGRESS,BASELINING,PARTIAL,Workspace Lead,PC-044;DATA-CORE;Drawing core;Indicator core;PC-158 baseline,§6.2; §18.1–18.3,I3,critical-P0,QA-INT-001,qa/tests/watchlist-interactions.spec.mjs;artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T232021Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:22:00Z,list/table selection/flag/remove پاس؛ create/rename/reorder/import/export/columns/filter کامل هنوز مانده است
PC-078,Workspace,P0,Watchlist stream virtualized باشد,۱۰هزار ردیف بدون jank و با quotes درست,Performance + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace Lead,PC-044;DATA-CORE;Drawing core;Indicator core;PC-158 baseline,§6.2; §18.1–18.3,I3,critical-P0,,,,,
PC-079,Workspace,P0,Object Tree دوطرفه باشد,Selection/visibility/lock/order/group با Canvas sync,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace Lead,PC-044;DATA-CORE;Drawing core;Indicator core;PC-158 baseline,§6.2; §18.1–18.3,I3,critical-P0,,,,,
PC-080,Workspace,P1,Offline queue و conflict حل شود,تغییرات آفلاین پس از اتصال با policy روشن merge شوند,Fault test,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace/Backend Lead,PC-074–075;PC-129;PC-131;resilience policy,§18.1; §28.3,I3,P1,,,,,
PC-081,هشدار,P0,هشدار قیمت سروری باشد,پس از بستن مرورگر Trigger و Delivery log ایجاد شود,Integration/E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Alert Backend Lead,PC-051–053;PC-129;PC-131;PC-134,§19.1–19.3,I4,critical-P0,,,,,
PC-082,هشدار,P0,هشدار اندیکاتور و Drawing باشد,conditionها با Bar clock و dedupe درست عمل کنند,Golden + integration,NOT_STARTED,BASELINING,NOT_ASSESSED,Alert/Quant Lead,PC-081;PC-059;PC-061–062;PC-066–069,§19.1–19.2,I4,critical-P0,,,,,
PC-083,هشدار,P1,هشدار چندشرطی باشد,AND/OR و grouping UI/runtime مطابق AST,Unit + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Alert/Security Lead,PC-081–082;PC-086;PC-136,§19; §27.3,I4,P1,,,,,
PC-084,هشدار,P1,Webhook امن باشد,HMAC، replay protection، retry، SSRF control پاس شود,Security tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Alert/Security Lead,PC-081–082;PC-086;PC-136,§19; §27.3,I4,P1,,,,,
PC-085,هشدار,P0,مدیریت Pause/Resume/Clone/Expiry باشد,تمام lifecycleها و permissionها کار کنند,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Alert Backend Lead,PC-051–053;PC-129;PC-131;PC-134,§19.1–19.3,I4,critical-P0,,,,,
PC-086,هشدار,P0,Delivery دقیق و قابل ممیزی باشد,هر تلاش status، timestamp، channel و علت خطا داشته باشد,Audit report,NOT_STARTED,BASELINING,NOT_ASSESSED,Alert Backend Lead,PC-051–053;PC-129;PC-131;PC-134,§19.1–19.3,I4,critical-P0,,,,,
PC-087,Replay و Backtest,P1,Replay Clock مجازی داشته باشد,هیچ مسیر Replay به Date.now وابسته نباشد,Static + deterministic tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Replay Lead,DATA-CORE;PC-066–070;PC-074–075,§20.1,I4,P1,,,,,
PC-088,Replay و Backtest,P1,Replay step/speed/pause/reset کامل باشد,همه کنترل‌ها و state persistence پاس شوند,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Replay Lead,DATA-CORE;PC-066–070;PC-074–075,§20.1,I4,P1,,,,,
PC-089,Replay و Backtest,P1,Replay آینده را افشا نکند,Network/UI/indicator فقط داده تا Clock مجازی ببیند,Security/property test,NOT_STARTED,BASELINING,NOT_ASSESSED,Replay Lead,DATA-CORE;PC-066–070;PC-074–075,§20.1,I4,P1,,,,,
PC-090,Replay و Backtest,P1,Backtest deterministic باشد,همان hash تنظیمات سه اجرای برابر بدهد,Golden run,NOT_STARTED,BASELINING,NOT_ASSESSED,Backtest/Quant Lead,PC-087–089;Indicator core;deterministic data,§20.2,I4,P1,,,,,
PC-091,Replay و Backtest,P1,Commission/slippage/margin اعمال شود,Trade list و summary با سناریوی دستی منطبق,Unit + report test,NOT_STARTED,BASELINING,NOT_ASSESSED,Backtest/Quant Lead,PC-087–089;Indicator core;deterministic data,§20.2,I4,P1,,,,,
PC-092,Replay و Backtest,P1,گزارش کامل Strategy باشد,equity/drawdown/trades/metrics/export ارائه شود,Visual + data test,NOT_STARTED,BASELINING,NOT_ASSESSED,Backtest/Quant Lead,PC-087–089;Indicator core;deterministic data,§20.2,I4,P1,,,,,
PC-093,Replay و Backtest,P1,Paper Trading واضح و ایمن باشد,برچسب آزمایشی، order lifecycle، reset و audit کامل,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Paper Trading Lead,PC-051–053;PC-129;PC-131;PC-134;idempotency,§20.3; §27.1,I4,P1,,,,,
PC-094,Replay و Backtest,P1,Double-submit سفارش غیرممکن باشد,Idempotency و disabled state در latency/timeout پاس شود,Fault test,NOT_STARTED,BASELINING,NOT_ASSESSED,Paper Trading Lead,PC-051–053;PC-129;PC-131;PC-134;idempotency,§20.3; §27.1,I4,P1,,,,,
PC-095,NamaScript,P1,Grammar نسخه‌دار باشد,Parser fixture نسخه‌ها و خطاهای پایدار داشته باشد,Parser tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Compiler Lead,G0;language ADR,§21.1–21.3,I5,P1,,,,,
PC-096,NamaScript,P1,Type checker کامل باشد,Type errors با code/location/message فارسی دقیق,Golden diagnostics,NOT_STARTED,BASELINING,NOT_ASSESSED,Compiler Lead,G0;language ADR,§21.1–21.3,I5,P1,,,,,
PC-097,NamaScript,P1,Runtime sandbox باشد,بدون network/DOM/file و با CPU/memory/time quota,Security/fuzz tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Runtime Security Lead,PC-095–096;PC-128;PC-131–133,§21.2; §27.2,I5,P1-critical,,,,,
PC-098,NamaScript,P1,Standard library فنی کافی باشد,توابع P1 با test vectors و docs پوشش داده شوند,Coverage + docs,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant/Compiler Lead,PC-095–097;Indicator contracts,§21.2–21.3,I5,P1,,,,,
PC-099,NamaScript,P1,Editor حرفه‌ای باشد,highlight/autocomplete/hover/problems/format/diff کار کند,E2E + visual,NOT_STARTED,BASELINING,NOT_ASSESSED,Editor/Compiler Lead,PC-095–098;PC-103 storage,§21.4–21.5,I5,P1,,,,,
PC-100,NamaScript,P1,Debugger و Profiler باشد,breakpoint/step/watch/trace/perf report قابل استفاده,E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Editor/Compiler Lead,PC-095–098;PC-103 storage,§21.4–21.5,I5,P1,,,,,
PC-101,NamaScript,P1,Strategy/Alert API باشد,Script بتواند بدون look-ahead شرط و strategy بسازد,Golden suite,NOT_STARTED,BASELINING,NOT_ASSESSED,Strategy Platform Lead,PC-097–098;PC-081–092,§21.2; §20; §19,I5,P1,,,,,
PC-102,NamaScript,P1,انتشار و Versioning امن باشد,private/public/protected/invite و license/attribution ثبت شود,Permission tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Script Marketplace/Security Lead,PC-097;PC-129;PC-131;license policy,§21.6; §27,I5,P1,,,,,
PC-103,NamaScript,P1,Draft بازیابی شود,autosave/crash restore/conflict بدون از دست رفتن کد,E2E fault test,NOT_STARTED,BASELINING,NOT_ASSESSED,Workspace/Editor Lead,PC-074–076;PC-099,§18.1; §21.4,I5,P1,,,,,
PC-104,کشف بازار,P1,Symbol search رتبه‌بندی دقیق داشته باشد,exact/alias/fa/en/transliteration/typo/entitlement پاس شود,Search golden suite,NOT_STARTED,BASELINING,NOT_ASSESSED,Search/Data Lead,PC-015;PC-050,§22.1; §34/F3,I3,P1-enabler,,,,,
PC-105,کشف بازار,P1,Screener فیلتر و Sort کامل داشته باشد,فیلترهای P1، multi-timeframe و saved preset کار کنند,E2E + contract,NOT_STARTED,BASELINING,NOT_ASSESSED,Screener/Data Lead,PC-050–058;PC-104;PC-145,§22.2; §28.3,I6,P1,,,,,
PC-106,کشف بازار,P1,Screener حجم بالا را تحمل کند,Query cancel، pagination و virtualization بدون jank,Load + performance,NOT_STARTED,BASELINING,NOT_ASSESSED,Screener/Data Lead,PC-050–058;PC-104;PC-145,§22.2; §28.3,I6,P1,,,,,
PC-107,کشف بازار,P1,Heatmap تعاملی و Accessible باشد,drill-down/tooltip/filter و table alternative پاس شود,E2E + a11y,NOT_STARTED,BASELINING,NOT_ASSESSED,Visualization/A11y Lead,PC-105–106;PC-146–152,§22.3; §29,I6,P1,,,,,
PC-108,محتوا,P1,Calendar جلالی/Timezone صحیح باشد,رویداد، revision و marker چارت بدون duplicate,Contract + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Content/Data Lead,PC-013;PC-056,§23.1,I6,P1,,,,,
PC-109,محتوا,P1,News attribution و مجوز را رعایت کند,Source/time/link موجود و متن کامل غیرمجاز نمایش داده نشود,Content audit,NOT_STARTED,BASELINING,NOT_ASSESSED,Content Security Lead,content adapter;license policy;PC-137,§23.2; §27.4,I6,P1,,,,,
PC-110,محتوا,P1,محتوای خارجی AI را آلوده نکند,Prompt injection از خبر نتواند Tool action اجرا کند,Security eval,NOT_STARTED,BASELINING,NOT_ASSESSED,Content Security Lead,content adapter;license policy;PC-137,§23.2; §27.4,I6,P1,,,,,
PC-111,هوش مصنوعی,P1,دستیار پاسخ فارسی و Context محدود بدهد,پاسخ فقط از Context مجاز و با منبع/عدم قطعیت باشد,Eval suite,NOT_STARTED,BASELINING,NOT_ASSESSED,AI Product/Evaluation Lead,PC-009–017;PC-109–110;PC-137,§24.1; §24.4; §27.4,I6,P1,,,,,
PC-112,هوش مصنوعی,P1,Actionها Preview و Confirm داشته باشند,هیچ تغییر حساس مستقیم اجرا نشود,E2E safety,NOT_STARTED,BASELINING,NOT_ASSESSED,AI Safety Lead,PC-129;PC-131;PC-137;confirmation policy,§24.2; §27.4,I6,P1,,,,,
PC-113,هوش مصنوعی,P1,Draft NamaScript/Alert قابل بررسی باشد,خروجی Validate و تا تأیید کاربر اجرا نشود,Integration eval,NOT_STARTED,BASELINING,NOT_ASSESSED,AI/Developer Tools Lead,PC-081–084;PC-095–103;PC-112,§24.1–24.2,I6,P1,,,,,
PC-114,هوش مصنوعی,P1,فرمان صوتی فارسی باشد,STT/TTS، transcript، confidence و cancel کار کند,Voice eval,NOT_STARTED,BASELINING,NOT_ASSESSED,Voice/Accessibility Lead,PC-111–112;PC-116;consent policy,§24.3; §27.5; §29,I6,P1,,,,,
PC-115,هوش مصنوعی,P1,فرمان حساس تأیید دو مرحله‌ای باشد,اتصال/سفارش/حذف گسترده بدون تأیید ممکن نباشد,Safety E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,AI Safety Lead,PC-129;PC-131;PC-137;confirmation policy,§24.2; §27.4,I6,P1,,,,,
PC-116,هوش مصنوعی,P1,PII و Secret وارد مدل نشود,Redaction و tool allowlist با تست نشت پاس شود,Security eval,NOT_STARTED,BASELINING,NOT_ASSESSED,Privacy/Security Lead,PC-128;PC-131;redaction/retention policy,§27.4–27.5,I6,P1,,,,,
PC-117,هوش مصنوعی,P1,کیفیت با Dataset فارسی سنجیده شود,intent/parameter/safety/hallucination/latency گزارش شود,Eval report,NOT_STARTED,BASELINING,NOT_ASSESSED,AI Product/Evaluation Lead,PC-009–017;PC-109–110;PC-137,§24.1; §24.4; §27.4,I6,P1,,,,,
PC-118,اتصال‌ها,P0,تنها LBank به عنوان صرافی نمایش یابد,Scan UI/Bundle/fixtures نام صرافی دیگری نیابد,Content + code scan,IN_PROGRESS,EVIDENCE_READY,PARTIAL,Integrations Product Lead,G0;i18n/routes;PC-129–131;policy approval,§14.1–14.3; §15.1–15.4,I1.5-REFERRAL,critical-P0,QA-REF-UI-001;QA-INV-003,artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,Production User Portal/Main scans and browser gates are now deployed; full ignored/legacy surface audit remains open. Prior evidence retained in this row.
PC-119,اتصال‌ها,P0,لینک LBank دقیق باشد,Redirect داخلی مقصد دقیق و status مناسب داشته باشد,Redirect contract test,IN_PROGRESS,EVIDENCE_READY,PASS,Integrations Product Lead,G0;i18n/routes;PC-129–131;policy approval,§14.1–14.3; §15.1–15.4,I1.5-REFERRAL,critical-P0,QA-REF-BE-001;QA-REF-UI-001,artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"Exact /go/lbank returns fixed approved 302 on origin and public production, including hostile query; full surface audit remains open. Prior evidence retained in this row."
PC-120,اتصال‌ها,P0,تنها OneRoyal به عنوان بروکر نمایش یابد,Scan UI/Bundle/fixtures نام بروکر دیگری نیابد,Content + code scan,IN_PROGRESS,EVIDENCE_READY,PARTIAL,Integrations Product Lead,G0;i18n/routes;PC-129–131;policy approval,§14.1–14.3; §15.1–15.4,I1.5-REFERRAL,critical-P0,QA-REF-UI-001;QA-INV-003,artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,Production UI exposes only OneRoyal as broker/referral path; full bundle/tree scan remains open. Prior evidence retained in this row.
PC-121,اتصال‌ها,P0,لینک OneRoyal دقیق باشد,Redirect داخلی مقصد دقیق و status مناسب داشته باشد,Redirect contract test,IN_PROGRESS,EVIDENCE_READY,PASS,Integrations Product Lead,G0;i18n/routes;PC-129–131;policy approval,§14.1–14.3; §15.1–15.4,I1.5-REFERRAL,critical-P0,QA-REF-BE-001;QA-REF-UI-001,artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"Exact /go/oneroyal returns fixed approved 302 on origin and public production, including hostile query; full surface audit remains open. Prior evidence retained in this row."
PC-122,اتصال‌ها,P0,Disclosure لینک معرفی نمایش یابد,قبل از خروج، متن شفاف و قابل‌دسترسی وجود داشته باشد,E2E + a11y,IN_PROGRESS,EVIDENCE_READY,PASS,Integrations Product Lead,G0;i18n/routes;PC-129–131;policy approval,§14.1–14.3; §15.1–15.4,I1.5-REFERRAL,critical-P0,QA-REF-UI-001,artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,Disclosure is enforced in actual User Portal and Main surfaces; candidate and production browser are 4/4 each. Prior evidence retained in this row.
PC-123,اتصال‌ها,P0,Eligibility gate وجود داشته باشد,UI خدمت را برای محل نامجاز قطعی معرفی نکند,Policy E2E,IN_PROGRESS,EVIDENCE_READY,PARTIAL,Integrations Product Lead,G0;i18n/routes;PC-129–131;policy approval,§14.1–14.3; §15.1–15.4,I1.5-REFERRAL,critical-P0,QA-REF-UI-001,artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,Eligibility acknowledgement is enforced in actual User Portal and Main surfaces; policy coverage for every region remains open. Prior evidence retained in this row.
PC-124,اتصال‌ها,P1,LBank public API با Adapter رسمی باشد,REST/WS، rate limit، time sync، reconnect و mapping پاس شود,Provider contract suite,NOT_STARTED,BASELINING,NOT_ASSESSED,LBank Integration/Security Lead,PC-049–058;PC-118–123;PC-128–135,§14.2–14.4; §27.3,I7,P1,,,,,
PC-125,اتصال‌ها,P1,کلید LBank فقط Server-side باشد,Secret vault، no-withdrawal، rotation و revoke پاس شود,Security audit,NOT_STARTED,BASELINING,NOT_ASSESSED,LBank Integration/Security Lead,PC-049–058;PC-118–123;PC-128–135,§14.2–14.4; §27.3,I7,P1,,,,,
PC-126,اتصال‌ها,P1,OneRoyal تا API رسمی Referral-only بماند,هیچ fake connection/order UI فعال نباشد,E2E + code audit,IN_PROGRESS,EVIDENCE_READY,PARTIAL,Broker Integration Architect,PC-120–123;PC-049;PC-128–134,§15.2–15.4; §26,I7,P1,QA-REF-UI-001;QA-REF-BE-001,artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"OneRoyal is fail-closed referral-only across actual User Portal, Main UI and backend legacy paths; full independent adapter audit remains open. Prior evidence retained in this row."
PC-127,اتصال‌ها,P1,Broker adapter مستقل آماده باشد,Interface و test double بدون scraping پیاده شود,Architecture/contract tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Broker Integration Architect,PC-120–123;PC-049;PC-128–134,§15.2–15.4; §26,I7,P1,,,,,
PC-128,امنیت,P0,Threat model کامل باشد,Auth/Data/Script/AI/Webhook/Trading پوشش و Owner داشته باشد,Threat model review,IN_PROGRESS,BASELINED,PARTIAL,AppSec Lead,GOV;INVENTORY,§27; §34/F0,I0-SAFETY,critical,QA-SEC-003,docs/security/THREAT_MODEL.md;artifacts/qa/security-headers/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012839Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Header و Referral edge current به threat controls جزئی نگاشت شدند؛ Owner approval و پوشش کامل Auth/Data/Script/AI/Webhook/Trading باز است
PC-129,امنیت,P0,2FA و Session controls باشد,TOTP/backup/recovery/device logout و rotation پاس شود,Security E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Identity/Security Lead,G0;threat model,§25; §27.1,I1,critical-P0,,,,,
PC-130,امنیت,P0,CSP و Headerهای امن اعمال شوند,Scanner هیچ High finding نداشته باشد,DAST/header scan,IN_PROGRESS,EVIDENCE_READY,PARTIAL,AppSec/Supply-chain Lead,INVENTORY;PC-128,§27.1; §33.1,I0-baseline→I1-enforce,critical-P0,QA-SEC-003,docs/security/SECURITY_REPORT.md;artifacts/qa/security-headers/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012839Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,Panel/User production boundary has seven security headers and CSP; authenticated DAST and residual Medium findings remain open. Prior evidence retained in this row.
PC-131,امنیت,P0,Permission سمت سرور enforce شود,تغییر Client نتواند Entitlement/RBAC را دور بزند,Authorization tests,NOT_STARTED,BASELINING,NOT_ASSESSED,AppSec/Supply-chain Lead,INVENTORY;PC-128,§27.1; §33.1,I0-baseline→I1-enforce,critical-P0,,,,,
PC-132,امنیت,P0,Secret scan صفر باشد,Git history/current build/log artifact Secret نداشته باشد,Secret scan,IN_PROGRESS,BASELINED,FAIL,AppSec/Supply-chain Lead,INVENTORY;PC-128,§27.1; §33.1,I0-baseline→I1-enforce,critical-P0,SEC-001;QA-SEC-SRC-001;QA-SEC-003;QA-BE-003;QA-SEC-ART-001,docs/security/SECURITY_REPORT.md;artifacts/qa/current-source-secrets/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T015218Z;artifacts/qa/security-headers/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012839Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/all-artifacts-secrets/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T014820Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:52:18Z,Strict current-source built-in scan روی همان ۱۲۸۲-file manifest بدون project config/allowlist finding صفر دارد؛ Backend دو credential-bearing Command occurrence در inventory JSONL sanitize و reseal شد و whole-artifacts raw pattern صفر بود ولی scanner exit1 با ۱۹ heuristic reviewed و بدون waiver حفظ شد؛ exposure قبلی و history و ignored/runtime storeها و Rotation/Revoke باز و Gate FAIL است
PC-133,امنیت,P0,Dependency/SBOM کنترل شود,صفر Critical/High حل‌نشده و SBOM امضا شده,SCA report,IN_PROGRESS,BASELINED,FAIL,AppSec/Supply-chain Lead,INVENTORY;PC-128,§27.1; §33.1,I0-baseline→I1-enforce,critical-P0,QA-INV-003;QA-FE-BUILD-003;QA-BE-003;QA-SCA-002,docs/security/SECURITY_REPORT.md;artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/frontend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011751Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/supply-chain/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012504Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"Frontend runtime scans are 0 Critical/High, but backend base has 5 Critical/23 High and release images remain unsigned/unattested. Prior evidence retained in this row."
PC-134,امنیت,P0,Audit log عملیات حساس باشد,اتصال، Alert، Webhook، سفارش و تنظیم امنیت ثبت شوند,Audit tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Security/Audit Platform Lead,PC-128–131;telemetry foundation,§27.1; §30.1,I1,P0-enabler,,,,,
PC-135,امنیت,P0,Backup/restore آزموده باشد,Restore در محیط Clean با RPO/RTO هدف موفق شود,Drill report,NOT_STARTED,BASELINED,PASS_BASELINE,SRE/DBA,schema inventory;threat model,§6.1; §28.3; §33.3; §38.2,I0-SAFETY,critical,,docs/RELEASE_AND_ROLLBACK.md,,,Restore drill passed; RPO/RTO undefined
PC-136,امنیت,P1,Webhook SSRF-safe باشد,Private ranges/DNS rebinding/redirect abuse مسدود شود,Security tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Webhook Security Lead,PC-128;PC-130–131;PC-134,§27.3,I4,P1,,,,,
PC-137,امنیت,P1,AI tool permission محدود باشد,Prompt خارجی یا کاربر بدون مجوز Action نگیرد,Adversarial eval,NOT_STARTED,BASELINING,NOT_ASSESSED,AI Security Lead,PC-128;PC-131;AI tool model,§27.4,I6,P1,,,,,
PC-138,کارایی,P0,LCP صدک ۷۵ حداکثر ۲.۵s باشد,RUM و lab در Routeهای هدف پاس شوند,Web Vitals report,IN_PROGRESS,BASELINED,FAIL,Web Performance Lead,PC-153;telemetry/RUM foundation,§28.1; §30.1,I0-baseline→I1-budget→I8-verify,cross-cutting-P0,PERF-003,docs/performance/LATEST_REPORT.md;artifacts/qa/performance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013244Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Current deterministic lab LCP p75 برابر Desktop ۴۳۴۴ms و Mobile ۴۱۸۸ms در برابر ۲۵۰۰ms fail است و RUM وجود ندارد
PC-139,کارایی,P0,INP صدک ۷۵ حداکثر ۲۰۰ms باشد,تعامل‌های P0 در RUM/lab پاس شوند,Web Vitals report,NOT_STARTED,BASELINED,NOT_ASSESSED,Web Performance Lead,PC-153;telemetry/RUM foundation,§28.1; §30.1,I0-baseline→I1-budget→I8-verify,cross-cutting-P0,PERF-003,docs/performance/LATEST_REPORT.md;artifacts/qa/performance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013244Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Current lab INP یا interaction-to-next-paint و RUM را اندازه نگرفت
PC-140,کارایی,P0,CLS حداکثر ۰.۱ باشد,Routeها و Lazy content بدون shift غیرمجاز,Web Vitals report,IN_PROGRESS,BASELINED,PARTIAL,Web Performance Lead,PC-153;telemetry/RUM foundation,§28.1; §30.1,I0-baseline→I1-budget→I8-verify,cross-cutting-P0,PERF-003,docs/performance/LATEST_REPORT.md;artifacts/qa/performance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013244Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Current lab CLS p75 برابر Desktop ۰٫۰۹۲ و Mobile ۰٫۰۰۵ پاس است؛ Route matrix و RUM باز است
PC-141,کارایی,P0,چارت هدف ۶۰fps داشته باشد,p95 frame زیر ۲۰ms در دستگاه مرجع,Performance trace,IN_PROGRESS,BASELINED,FAIL,Chart Performance Lead,PC-153;Chart core,§28.2,I0-baseline→I2-optimize→I8-verify,critical-P0,PERF-003;PERF-004,docs/performance/LATEST_REPORT.md;artifacts/qa/performance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013244Z;artifacts/qa/quote-commit/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013516Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Current Desktop active-chart frame p75 برابر ۲۸ms در برابر strict کمتر از ۲۰ms fail است؛ Mobile ۱۹ms پاس و quote→canvas فقط MEASURED_UNGATED است و visible-pixel یا remediation claim نیست
PC-142,کارایی,P0,Memory leak در Soak صفر عملی باشد,جلسه طولانی رشد کنترل‌نشده نداشته باشد,Soak report,NOT_STARTED,BASELINING,NOT_ASSESSED,Performance/SRE Lead,PC-153;representative journeys,§28.1; §33.2,I0-baseline→I8-soak,critical-P0,,,,,
PC-143,کارایی,P1,Indicator ۱۰هزار Bar زیر Budget باشد,P0 indicatorها در Worker/benchmark هدف پاس شوند,Benchmark,NOT_STARTED,BASELINING,NOT_ASSESSED,Quant Performance Lead,PC-066–073;PC-153,§28.2,I3,P1,,,,,
PC-144,کارایی,P1,Bundle budget enforce شود,افزایش خارج Budget CI را fail کند,CI artifact,NOT_STARTED,BASELINING,NOT_ASSESSED,Build/Performance Lead,G0;CI foundation,§28.1; §33.1,I1,P1,,,,,
PC-145,کارایی,P1,Stream fan-out و Alert load پاس شود,ظرفیت هدف با error/latency در SLA,Load report,NOT_STARTED,BASELINING,NOT_ASSESSED,SRE/Load Lead,Stream;Alert;Backtest;Workspace services,§28.3; §33.2,I4-harness→I8-gate,P1-final,,,,,
